test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,avg_test_r2_score,avg_test_r2,avg_test_mean_squared_error,avg_test_mean_absolute_error,avg_test_mean_absolute_percentage_error,avg_test_median_absolute_error,province,imputation
0.5109,0.7415,77.0092,6.5465,49.4027,5.0586,0.5912,0.7985,54.3006,5.7159,40.3941,4.4495,Rayong,no impute
0.6215,0.8082,139.2035,8.2279,33.1583,5.5784,0.7079,0.8672,84.8944,6.5734,24.8225,4.4957,Khon Kaen,no impute
-0.2191,0.2267,48.6906,5.6636,44.366,5.013,-0.4829,0.063,30.0719,4.5259,33.3857,4.03,Songkhla,no impute
0.5756,0.8347,171.5694,9.164,43.918,6.0546,0.6339,0.8832,113.3813,7.4177,29.9977,4.7932,Samut Sakhon,no impute
0.599,0.7838,290.0511,8.5137,40.8426,4.6977,0.6663,0.8286,203.8991,7.5293,33.8925,4.393,Nan,no impute
0.5479,0.7422,110.7552,7.0211,91.1947,4.6634,0.6714,0.8222,65.757,5.6266,52.8531,3.9614,Sa Kaeo,no impute
0.4697,0.8103,161.9609,8.9004,84.1453,5.4748,0.5419,0.8706,117.5219,7.7689,62.5453,5.6739,Loei,no impute
0.5648,0.816,166.9764,9.3147,71.4843,6.7387,0.6222,0.8598,119.9002,7.874,52.4885,5.6492,Ratchaburi,no impute
0.6877,0.8401,226.9127,9.2255,40.9509,5.9972,0.7597,0.8828,151.9889,8.0964,34.7139,5.3607,Chiang Mai,no impute
0.5888,0.7848,96.4042,7.458,36.8668,5.8315,0.655,0.8295,65.9892,6.1959,28.7439,4.7914,Bangkok,no impute
0.4731,0.7939,99.6168,8.1136,91.9557,7.2103,0.5303,0.8506,72.2325,7.1805,63.4172,6.5291,Chon Buri,no impute
0.3285,0.7968,230.5845,12.6038,74.2675,11.2746,0.3281,0.8445,183.2986,11.4678,58.4502,10.2512,Saraburi,no impute
