test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,test_r2_score_std,test_r2_std,test_mean_squared_error_std,test_mean_absolute_error_std,test_mean_absolute_percentage_error_std,test_median_absolute_error_std,province,data_size
0.90845,0.95607,75.6543,4.4979,21.93689,2.94076,0.008357598006870427,0.004003900875673917,6.9099008627717176,0.04729597116974015,0.12150574243402852,0.02290954192276901,Nan,42922.0
0.89436,0.94935,83.79256000000002,6.663120000000001,31.38958,5.1095,0.0025364892623028863,0.0011374923687167615,2.0240580004864803,0.10563968951109236,0.8612690259791715,0.12698315723836076,Chiang Mai,69055.0
0.8531200000000001,0.96429,30.64906,4.219099999999999,20.76997,3.32575,0.00296340644829188,0.0009433392225964432,0.6177560075700506,0.05070255308057862,0.31711752483197103,0.06949473601168177,Bangkok,60416.0
0.79084,0.9014600000000002,92.18859,7.154090000000001,34.33723,5.66112,0.003802689106993164,0.0013014521803653798,1.6816867348984286,0.03831995273715479,0.1716556763472217,0.046425347482694,Ratchaburi,40696.0
0.7692100000000001,0.91245,89.25426999999998,6.601909999999998,30.225240000000003,4.431,0.005186188924013036,0.0014191155304938696,2.014203768821152,0.053113954015033535,0.27697478104212553,0.03991657967979401,Samut Sakhon,31856.0
0.7522300000000001,0.90627,96.03025,7.25586,24.12342,5.519070000000001,0.00214375060738572,0.0011304374767712108,0.8304976530169531,0.02634705127924403,0.10797608582973776,0.035498733936735034,Khon Kaen,39777.0
0.74455,0.8765599999999999,13.581300000000002,2.7267900000000003,30.08403,2.04839,0.012657035812367566,0.004514962778239582,0.6737999571254234,0.055185675476320604,0.3913257013736203,0.031610773479938716,Sa Kaeo,5396.0
0.7360899999999999,0.8784199999999999,53.92175,5.69439,42.73089,4.78696,0.003637291422045921,0.0014815907367121016,0.7451024392659037,0.04298184241953538,0.4022075540756993,0.055613251818049485,Chon Buri,25060.0
0.7138699999999999,0.8740400000000002,48.79025,5.19252,38.02573,4.05537,0.003071391288072,0.0015378195241603908,0.5246572240785186,0.030722116535884136,0.24090291751381165,0.02961043547280054,Rayong,86031.0
0.31475,0.6383300000000001,30.614690000000003,4.35243,32.31626,3.5801800000000004,0.02036545277342654,0.011678855537537338,0.909868982570812,0.0846003815331558,0.9255464478410104,0.10797143449388204,Songkhla,43162.0
0.26865,0.7892899999999999,284.72883,13.815320000000002,64.31576,11.97208,0.008815926244902203,0.0016716259549711774,3.424027213368628,0.09307750414454494,0.4767985812805161,0.10773633246650506,Saraburi,66434.0
-0.30678,0.6196,186.67321,9.50564,26.889259999999997,6.859519999999999,0.414287752386886,0.2104304741344381,59.180031916638356,1.9079400253793208,5.888785659803821,2.075814638909532,Loei,460.0
