station,test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,avg_trn_r2_score,avg_trn_r2,avg_trn_mean_squared_error,avg_trn_mean_absolute_error,avg_trn_mean_absolute_percentage_error,avg_trn_median_absolute_error,avg_test_r2_score,avg_test_r2,avg_test_mean_squared_error,avg_test_mean_absolute_error,avg_test_mean_absolute_percentage_error,avg_test_median_absolute_error
10t,0.4725,0.7815,66.9888,6.2895,inf,5.0669,0.9293,0.9705,5.0746,1.655,9.9057,1.2076,0.3817,0.8319,33.0298,4.7137,34.2585,3.9709
11t,0.3867,0.6454,132.3736,8.8127,43.1144,7.1156,0.9496,0.98,5.2557,1.6407,6.6238,1.2182,0.4369,0.7013,67.011,6.5037,29.858,5.3774
12t,0.3056,0.6696,145.8593,9.335,80.3857,7.4247,0.9663,0.9873,4.5256,1.4974,5.5927,1.0836,0.3558,0.7476,91.0672,7.3592,59.563,5.8367
50t,-1.5647,0.4585,535.546,17.7433,104.1523,13.7398,0.9505,0.9827,24.0657,3.5709,11.4593,2.5282,-2.784,0.4686,451.4473,16.2547,78.1636,12.4963
53t,0.517,0.7254,128.6593,8.0512,inf,5.5409,0.9618,0.9841,7.1915,1.9253,14.9462,1.3348,0.7088,0.8514,44.5618,4.7329,18.8072,3.3494
54t,0.4918,0.7601,192.7366,10.9834,inf,9.1767,0.9605,0.9828,9.9849,2.2249,8.1164,1.5003,0.5758,0.8408,107.3003,8.3911,67.6212,7.2664
59t,0.4568,0.7489,89.3237,7.1551,inf,5.5618,0.9398,0.9751,5.3855,1.6879,10.1888,1.2388,0.4862,0.8483,37.6329,4.9694,36.7207,4.3234
61t,0.5351,0.7322,87.908,6.7176,inf,4.8626,0.9331,0.9721,5.8039,1.8054,17.7617,1.3677,0.5952,0.7749,37.1337,4.6951,55.3773,3.7824
02t,0.5304,0.7515,71.5218,6.3293,inf,4.7613,0.9612,0.9841,3.9294,1.4167,8.493,1.0026,0.6512,0.8399,36.0443,4.549,55.331,3.3154
52t,-0.0079,0.6308,233.3216,12.5335,inf,11.1244,0.9598,0.9839,6.3988,1.8142,12.5884,1.3054,-0.1468,0.7092,166.1847,10.7879,inf,9.8532
08t,0.2599,0.6491,94.3994,7.6004,inf,6.2571,0.9568,0.9822,3.9543,1.4447,inf,1.0461,0.1332,0.7265,46.6635,5.3379,44.0434,4.2413
13t,0.4826,0.707,92.4672,6.771,inf,4.6015,0.9547,0.9816,5.4578,1.7152,inf,1.2532,0.618,0.8041,38.2432,4.3826,44.296,2.9966
05t,0.5082,0.7537,120.9193,7.2216,inf,4.513,0.9407,0.9751,4.3049,1.4956,16.9474,1.064,0.6135,0.8441,44.0374,4.6862,31.7016,3.1343
22t,0.3366,0.5871,84.7109,6.0132,inf,4.1107,0.8779,0.9562,5.7872,1.741,inf,1.2539,0.3228,0.5872,51.3318,4.717,inf,3.2661
03t,-4.0156,0.4408,616.8716,21.5679,inf,19.8243,0.9616,0.9843,6.8615,1.9052,7.5593,1.4101,-7.8352,0.4624,539.2223,21.0376,386.7325,20.5535
18t,0.0783,0.6456,230.9692,12.6109,inf,11.4421,0.9587,0.9828,5.4091,1.7812,9.8417,1.4071,0.1141,0.8123,134.4723,10.0459,113.7032,9.8267
81t,0.5055,0.73,35.0772,4.1724,45.0758,2.8742,0.9734,0.9894,0.8455,0.6773,8.2455,0.5086,0.4991,0.7636,12.535,2.8019,26.593,2.1784
27t,0.5311,0.735,133.3303,8.3173,inf,6.0547,0.9586,0.984,8.5011,2.0665,inf,1.4154,0.7122,0.8524,50.9459,5.279,110.9873,4.0027
14t,0.2128,0.5262,128.1849,8.4254,inf,6.4149,0.938,0.9757,4.6262,1.6253,inf,1.2519,0.1448,0.5108,75.5461,6.459,inf,4.9852
20t,0.3109,0.5708,102.7055,7.3805,inf,5.6363,0.9442,0.9804,5.1424,1.6808,inf,1.3479,0.2634,0.5596,44.1725,5.2334,inf,4.1914
19t,0.4388,0.6641,71.2758,5.8871,inf,4.3645,0.9444,0.9802,3.7846,1.446,inf,1.1084,0.4814,0.6994,34.0811,3.9464,31.0651,3.1816
