station,test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,avg_test_r2_score,avg_test_r2,avg_test_mean_squared_error,avg_test_mean_absolute_error,avg_test_mean_absolute_percentage_error,avg_test_median_absolute_error
10t,0.4124,0.6448,138.6948,9.257,60.6699,7.7068,0.4912,0.7039,86.8376,7.3544,37.7914,5.8136
11t,0.5159,0.7237,117.3022,8.4608,44.1732,6.9217,0.6001,0.7811,75.1944,6.9222,31.2738,5.9043
50t,0.5016,0.7302,117.9203,8.1159,41.9586,6.5596,0.607,0.8056,70.3818,6.3168,29.178,4.9946
53t,0.5821,0.7915,143.53,8.8905,69.3412,7.3679,0.6872,0.8593,82.0756,7.0432,45.2411,6.1534
59t,0.4638,0.7034,132.6529,9.1116,73.7551,7.7318,0.5802,0.7893,76.8537,6.8523,44.3911,5.7187
61t,0.3347,0.71,134.2426,8.8361,48.5752,6.8297,0.3758,0.7689,95.4405,7.5652,37.0258,5.9967
54t,0.4655,0.6991,185.6694,10.3145,37.8522,8.5115,0.5655,0.7736,109.1983,8.1765,26.0803,7.0211
02t,0.0402,0.5314,376.1396,13.3814,33.7403,9.1725,0.0241,0.6103,256.2796,11.2515,26.8019,7.283
52t,0.5068,0.7644,139.674,9.0485,55.2972,7.3899,0.5919,0.8323,88.8267,7.3359,39.3037,5.7767
08t,0.4747,0.7712,145.9917,9.6425,57.689,8.291,0.5524,0.8389,97.63,8.0818,43.131,7.0187
05t,0.5314,0.7671,115.1421,8.1775,66.7687,6.6183,0.6221,0.834,72.3978,6.6304,44.9631,5.3805
03t,0.3776,0.6376,361.3041,13.0295,48.2225,9.4621,0.5372,0.7718,174.8649,9.3793,28.2724,6.7989
18t,0.2959,0.5951,302.7433,11.1571,27.8268,7.0161,0.3586,0.6634,199.0297,9.136,21.0457,5.2722
27t,0.5703,0.7885,276.7901,12.0182,80.577,8.6706,0.6651,0.8595,149.9226,9.1517,47.9694,6.8603
14t,0.2722,0.5817,312.1471,13.3157,38.8365,10.5597,0.3065,0.6336,182.4359,10.3307,24.9028,8.1097
20t,0.5018,0.7425,178.4985,10.0065,55.4397,7.8988,0.5768,0.7997,112.0753,8.139,36.7676,6.3498
19t,0.4902,0.7213,152.4832,8.224,41.9073,5.9754,0.5861,0.7909,94.408,6.7803,31.3968,4.6837
