index,importance
fire_400_600,0.22458828961274993
fire_200_400,0.11702267084258876
Wind_Speed(kmph),0.1060392807373227
fire_100_200,0.07568115925469544
month_1,0.06396583551024337
Humidity(%),0.04667613381160254
Temperature(C),0.045568872130528036
fire_0_100,0.0431364800600265
month_2,0.03570605461687832
wind_CALM,0.032624670617080534
wind_E,0.023990449929891248
month_12,0.021278510425114992
wind_S,0.021088100929644017
wind_N,0.020823241179479025
month_4,0.01647155259072656
day_of_week,0.015016847942979092
wind_W,0.014991420181340784
is_rain,0.01365320337169526
month_11,0.01133907566613185
"time_of_day_[10, 12)",0.00637161346192423
"time_of_day_[8, 10)",0.005175704334457503
"time_of_day_[20, 22)",0.004629134532426661
"time_of_day_[22, 24)",0.004061843341512028
"time_of_day_[18, 20)",0.0034655291210379056
is_weekend,0.0034231479427691146
"time_of_day_[12, 14)",0.0033555623867143293
month_6,0.0033468286100588303
month_3,0.003081211336221616
month_10,0.0021072810307549545
"time_of_day_[6, 8)",0.001968397748602401
month_5,0.001932937310175116
"time_of_day_[4, 6)",0.0016651111289886764
"time_of_day_[14, 16)",0.0015106646312160312
"time_of_day_[0, 2)",0.00143390843178362
is_holiday,0.0010023126485291124
month_9,0.0007884147676971087
month_7,0.0007229540630731349
month_8,0.0002955937613387566
