index,importance,imp_std
fire_0_100,0.36233812726579906,0.10510415912228888
Humidity(%),0.19814894744279063,0.06660398542983902
time_of_day,0.09512157798146366,0.019866499474671645
fire_100_200,0.09484907012683996,0.0211035930805755
Temperature(C),0.09396855766122805,0.014153741960209965
Wind_Speed(kmph),0.04990305285898755,0.011178062730182112
day_of_week,0.04400360492586145,0.003955850766053508
wind_W,0.008534184831699392,0.0020202980497710044
wind_S,0.00831531833833148,0.001864165533232575
wind_CALM,0.008265333459254549,0.012734625898471795
wind_E,0.008225817211203745,0.002131177951288469
is_weekend,0.007905086838560723,0.0018847877044655
wind_N,0.007436929623748913,0.0018614740607369711
fire_200_400,0.0059385876616337195,0.002194662348780133
is_holiday,0.005528423831799291,0.001190473692736258
is_rain,0.0015173799407978254,0.0005328116842741133
fire_400_700,0.0,0.0
fire_700_800,0.0,0.0
