per,fire 0-100km,fire 0-200km,fire 0-400km,fire 0-700km,fire 0-900km
100,59.06581613,59.06581613,59.06581613,59.06581613,59.06581613
90,58.43514234,58.33068141,57.85504039,57.90327466,57.85547383
75,57.2291142,57.03077117,55.961008,56.14645561,55.9913314
50,55.48233771,55.16184879,52.52093842,52.71778754,52.14850475
25,53.68798151,52.82285796,47.97928965,48.56945502,47.26125449
10,51.47198547,49.90786228,43.39353246,44.03563547,41.35822441
5,49.92102059,47.53516156,41.71776002,42.75268973,38.56132134
2,47.92362982,44.2393036,39.68611816,40.86614811,35.1380163
1,46.3805602,41.37971056,37.76371264,39.20941996,32.88910669
0.1,41.58822238,33.82155037,31.5620317,33.82605795,27.55673289
0.01,39.52104058,31.34284967,29.18413468,31.93246137,26.14236215
