,fire_0_100,fire_0_100 & fire_100_200,fire_0_100 & fire_100_200 & fire_700_900,fire_0_100 & fire_100_200 & fire_700_900 & fire_400_700,fire_0_100 & fire_100_200 & fire_700_900 & fire_400_700 & fire_200_400
100,83.60661077391578,83.60661077391578,83.60661077391578,83.60661077391578,83.60661077391578
90,82.32135487026605,82.06434529741527,81.00680106992549,80.59952266666524,80.55684647174003
75,79.07855740044346,78.56039186121382,76.24154818603998,75.3454198703202,75.35553528025693
50,74.5202243245002,73.81213363342502,67.94231503880582,65.80101236207352,65.58759913472882
25,71.74100690179222,70.41495433767038,59.30605974741091,56.333165167357805,55.89825276450873
10,69.4752637216158,67.405387165326,53.05793770239685,51.596416999063486,49.52719825036951
5,68.33416812854841,65.47788829189405,52.18936241652396,50.5390290175743,47.50764366872256
2,66.78438291183448,62.556639072907416,50.827670113279204,48.81038110703283,44.831833164527204
1,64.58771087648357,58.29518821097958,47.9618286440239,46.167473151941444,42.07749652416656
0,54.52167413057031,42.546777990921456,35.86041920682974,35.212941969656136,32.1474895099284
0,49.86547003723445,37.749595508139066,31.792305917340588,31.6434594439199,29.44563643563748
