test_r2_score,test_r2,test_mean_squared_error,test_mean_absolute_error,test_mean_absolute_percentage_error,test_median_absolute_error,test_r2_score_std,test_r2_std,test_mean_squared_error_std,test_mean_absolute_error_std,test_mean_absolute_percentage_error_std,test_median_absolute_error_std,province,model_choice,data_size
0.9323400000000002,0.96588,55.922869999999996,4.72932,27.31389,3.2894300000000003,0.0007904991390816772,0.0004104198392432495,0.6552406819041555,0.02043976516499152,0.3091094859970068,0.021123659720796408,Nan,lr,42922.0
0.90211,0.96025,77.657,6.60278,32.229009999999995,5.211360000000001,0.0015919589609450812,0.00029907264074878514,1.271760291878937,0.062169746125694626,0.4466674289794494,0.06721539506194497,Chiang Mai,lr,69055.0
0.84977,0.97141,31.345160000000003,4.660830000000002,25.6013,4.32493,0.003190280377786409,0.0009631545393480176,0.6664675572665847,0.04215888070409637,0.2689004317999929,0.034481139772344974,Bangkok,lr,60416.0
0.7963399999999999,0.92306,78.76164000000001,6.4591400000000005,30.23641,4.753,0.0029360593393942718,0.0007988881162103935,1.136157627170534,0.04615115744305153,0.1834555862085187,0.03005757438280386,Samut Sakhon,lr,31856.0
0.79489,0.8949,10.90467,2.53775,32.074090000000005,2.00102,0.001372305440571535,0.0017307673314329427,0.07287903295492068,0.012595523896298349,0.4211415450890589,0.015997694278308446,Sa Kaeo,lr,5396.0
0.7593799999999999,0.9100600000000002,41.031659999999995,5.1355499999999985,40.67834000000001,4.478940000000001,0.0026330379581177357,0.0007848566748139333,0.4468863817820167,0.033933374263236456,0.2996719398868632,0.03728899748361877,Rayong,lr,86031.0
0.73033,0.89599,104.51122,7.416239999999999,25.3165,5.53059,0.003937018048105837,0.0001911950719959788,1.528212987482801,0.04958759253415453,0.16275393151079973,0.04098128163496642,Khon Kaen,lr,39777.0
0.7041,0.8629900000000001,60.45961000000001,6.0873,46.09286999999999,5.1882199999999985,0.003338662406813043,0.0016051652735950773,0.6788514326910305,0.04165127715795618,0.5098666449834385,0.045456127810841386,Chon Buri,lr,25060.0
0.6818500000000001,0.8573799999999999,140.23479,7.83823,39.8279,6.22735,0.004889046714624197,0.0005672545969648608,2.1550231679342384,0.05483340526844328,0.2377484338072039,0.045002598690396536,Ratchaburi,lr,40696.0
0.5107299999999999,0.95325,69.89386999999999,6.580959999999998,20.18062,5.42809,0.14109039694859146,0.0027737860207465315,20.154246063026022,1.1316991671327188,3.6050870110627473,1.1413342907414208,Loei,lr,460.0
0.38323,0.68895,27.555080000000004,4.17863,31.958779999999997,3.4857500000000003,0.00534416608191691,0.0016728219670166106,0.2383388614743487,0.016291241682436446,0.1734973441999741,0.01975096340828855,Songkhla,lr,43162.0
0.18709000000000006,0.68913,316.48092,14.74715,73.26718000000001,13.70173,0.015503795234285913,0.00604502550311689,6.037299928647278,0.16092335131981295,0.9697566118476462,0.18311026459486085,Saraburi,lr,66434.0
